No    , yrdoy , time , LON   , LAT   , S_LON , S_LAT , vel_SCS, vel_SSB, angle  , angle SC
     4, 90-302, 21:35,   43.6,    1.0,    206,    -21,   56.00,   65.25,    28.7,     26.4
     6, 90-303, 04:24,   43.9,    1.0,    211,     17,   36.70,   52.93,    39.0,     22.0
     8, 90-303, 23:13,   44.8,    1.1,    209,      3,   43.70,   56.53,    29.2,     16.3
    18, 90-307, 21:41,   49.7,    1.2,    211,     22,   34.10,   49.54,    38.9,     29.5
    19, 90-308, 00:44,   49.9,    1.2,    203,    -30,   38.70,   49.86,    38.0,     38.5
    29, 90-312, 22:30,   55.6,    1.4,    208,     -1,   56.00,   61.36,    11.0,     27.6
    31, 90-314, 06:36,   57.2,    1.4,    210,     19,   55.20,   61.36,    21.6,     33.6
    34, 90-315, 17:38,   58.7,    1.4,    208,      7,   70.00,   71.53,     7.4,     31.8
    35, 90-316, 13:39,   59.6,    1.5,    206,    -12,   43.50,   49.98,    18.8,     34.9
    36, 90-317, 12:19,   60.7,    1.5,    204,    -21,   48.90,   52.86,    22.0,     40.7
    38, 90-318, 23:21,   62.2,    1.5,    205,     -6,   70.00,   68.54,     7.4,     37.4
    43, 90-322, 09:39,   65.8,    1.6,    205,     -4,   34.60,   41.58,    18.5,     40.8
    48, 90-323, 16:42,   67.1,    1.6,    205,     -5,   43.70,   46.49,     8.7,     42.2
    49, 90-323, 18:32,   67.2,    1.6,    207,     10,   48.90,   51.05,    10.9,     41.7
    59, 90-330, 04:37,   73.3,    1.7,    202,    -19,   70.00,   63.75,    26.6,     53.1
    61, 90-331, 20:22,   74.7,    1.8,    201,     -9,   43.70,   41.51,     9.4,     53.9
    66, 90-334, 08:07,   76.9,    1.8,    197,    -45,   21.40,   34.36,    46.4,     67.9
    72, 90-337, 02:52,   79.2,    1.8,    201,      0,   43.70,   39.43,     7.5,     58.2
    74, 90-338, 17:52,   80.5,    1.8,    197,    -32,   43.50,   40.61,    34.5,     66.7
    76, 90-338, 23:17,   80.7,    1.8,    199,    -13,   70.00,   58.81,    33.3,     62.0
    80, 90-340, 18:28,   82.2,    1.9,    202,      9,   38.70,   36.02,    10.6,     61.0
    83, 90-345, 04:00,   85.4,    1.9,    198,     -1,   43.50,   35.26,    16.5,     67.4
    86, 90-347, 01:18,   86.8,    1.9,    200,     20,   43.70,   37.17,    27.5,     69.0
    94, 90-365, 17:48,   98.3,    2.0,    192,      1,   43.70,   27.61,    39.5,     86.3
  1032, 93-163, 15:09,  162.7,  -25.4,    333,    -60,    2.10,    9.11,   126.5,     85.8
  1080, 93-324, 03:31,  165.9,  -37.4,    215,     57,    5.00,   16.39,   113.9,     76.9
  1145, 94-166, 14:38,  178.1,  -61.4,    129,     37,   21.40,   35.59,    98.3,     73.9
  1165, 94-195, 09:05,  183.2,  -66.1,    134,     39,   34.10,   47.50,    88.7,     68.3
  1410, 95-184, 13:36,    7.3,   68.9,    133,    -20,   35.40,   34.03,    28.3,     58.9
  1412, 95-192, 23:17,   13.2,   71.8,    155,    -12,   43.70,   35.02,    27.8,     64.0
  1421, 95-211, 09:05,   32.1,   76.7,    155,    -22,   21.40,   22.77,    10.3,     61.3
  1422, 95-213, 04:07,   34.3,   77.1,    148,    -26,   10.40,   21.88,    37.2,     59.5
  1427, 95-222, 06:58,   47.7,   78.5,    168,    -22,   43.70,   37.02,    29.2,     62.6
  1428, 95-223, 04:56,   49.1,   78.6,    191,    -12,   43.70,   37.59,    42.4,     69.1
  1429, 95-225, 02:52,   52.1,   78.7,    109,    -32,   43.70,   44.51,    46.0,     64.6
  1431, 95-227, 00:57,   55.4,   78.9,    168,    -24,   56.00,   48.11,    37.1,     62.2
  1433, 95-230, 09:52,   60.9,   79.1,    194,    -14,   36.70,   32.75,    38.8,     68.7
  1436, 95-238, 09:48,   73.8,   79.1,    205,    -13,   36.70,   34.86,    44.7,     70.0
  1438, 95-241, 10:59,   78.4,   78.9,    194,    -20,   36.70,   33.63,    35.5,     65.6
  1440, 95-245, 19:13,   84.7,   78.6,    160,    -31,   28.00,   25.75,    12.8,     62.5
  1442, 95-250, 09:51,   90.8,   78.2,    165,    -31,   28.00,   25.59,    13.1,     62.8
  1449, 95-264, 04:11,  105.2,   76.4,    111,    -27,   28.00,   27.57,    47.7,     76.5
  1450, 95-266, 19:06,  107.4,   75.9,    156,    -33,   34.10,   28.86,    28.2,     66.9
  1452, 95-277, 14:49,  114.8,   74.2,    173,    -33,   43.50,   36.97,    37.2,     66.2
  1455, 95-292, 20:18,  122.4,   71.5,    155,    -32,   34.10,   26.67,    37.5,     74.0
  1465, 95-315, 18:29,  129.8,   67.6,    182,    -32,   21.40,   18.75,    19.6,     73.0
  1984, 01-150, 12:09,  338.3,    4.4,    114,     34,   56.00,   41.32,    39.6,     56.7
  2001, 01-159, 20:23,  339.7,   11.6,    124,     36,   34.60,   24.23,    30.9,     58.3
  2003, 01-160, 08:52,  339.8,   12.0,    124,     36,   21.40,   21.84,    50.8,     58.7
  2010, 01-165, 02:25,  340.5,   15.7,    118,      3,   43.70,   45.93,    42.5,     46.0
  2012, 01-166, 15:39,  340.8,   16.9,    125,     22,   34.60,   30.10,    34.2,     52.4
  2024, 01-179, 08:03,  342.9,   26.3,    136,     19,   34.10,   28.80,    23.0,     52.3
  2034, 01-192, 12:26,  345.3,   35.5,    145,     12,   34.60,   29.86,    13.6,     51.2
  2035, 01-192, 17:15,  345.3,   35.6,    170,     33,   34.10,   21.89,    25.7,     68.7
  2048, 01-232, 14:31,  355.8,   58.6,    100,    -23,   34.10,   41.78,    51.4,     63.2
  2049, 01-232, 15:00,  355.8,   58.6,    204,      3,   43.70,   42.59,    47.5,     65.6
  2051, 01-236, 07:48,  357.2,   60.4,    121,    -20,   34.10,   37.15,    36.6,     56.2
  2052, 01-236, 19:25,  357.4,   60.6,    166,    -10,   10.40,   24.90,    45.6,     51.3
  2053, 01-237, 19:46,  357.8,   61.1,    152,    -15,   14.10,   25.25,    37.3,     49.7
  2054, 01-239, 13:35,  358.5,   61.9,    155,    -14,   43.70,   39.72,    13.1,     50.8
  2055, 01-240, 04:57,  358.8,   62.1,    148,    -16,   56.00,   50.55,    23.6,     51.0
  2060, 01-268, 07:20,   16.0,   72.9,    180,    -18,   43.70,   40.22,    24.6,     55.7
