'radius'      'mass'    'beta'
 0.00505336 1.00000E-21    0.870605
 0.00571364 1.44544E-21    0.871936
 0.00646021 2.08930E-21    0.873680
 0.00730432 3.01995E-21    0.875971
 0.00825873 4.36516E-21    0.878988
 0.00933784 6.30957E-21    0.882976
  0.0105580 9.12011E-21    0.888262
  0.0119375 1.31826E-20    0.895355
  0.0134973 1.90546E-20    0.904740
  0.0152609 2.75423E-20    0.917313
  0.0172549 3.98107E-20    0.934215
  0.0195095 5.75440E-20    0.956943
  0.0220587 8.31764E-20    0.987750
  0.0249410 1.20226E-19     1.02942
  0.0281998 1.73780E-19     1.08569
  0.0318845 2.51189E-19     1.16121
  0.0360507 3.63078E-19     1.26142
  0.0407612 5.24807E-19     1.39192
  0.0460872 7.58578E-19     1.55722
  0.0521091 1.09648E-18     1.75910
  0.0589178 1.58489E-18     1.99478
  0.0666162 2.29087E-18     2.25360
  0.0753205 3.31131E-18     2.51544
  0.0851621 4.78630E-18     2.75926
  0.0962897 6.91831E-18     2.96456
   0.108871 1.00000E-17     3.10105
   0.123097 1.44544E-17     3.15500
   0.139181 2.08930E-17     3.13347
   0.157367 3.01995E-17     3.03735
   0.177929 4.36516E-17     2.88057
   0.201178 6.30957E-17     2.67759
   0.227464 9.12011E-17     2.44484
   0.257186 1.31826E-16     2.20035
   0.290790 1.90546E-16     1.95413
   0.328786 2.75423E-16     1.71441
   0.371746 3.98107E-16     1.49071
   0.420320 5.75440E-16     1.28633
   0.475240 8.31764E-16     1.10473
   0.537337 1.20226E-15    0.945583
   0.607547 1.73780E-15    0.807763
   0.686931 2.51189E-15    0.689498
   0.776688 3.63078E-15    0.588730
   0.878173 5.24807E-15    0.503139
   0.992918 7.58578E-15    0.430614
    1.12266 1.09648E-14    0.369246
    1.26935 1.58489E-14    0.317364
    1.43520 2.29087E-14    0.273310
    1.62273 3.31131E-14    0.235790
    1.83476 4.78630E-14    0.203818
    2.07450 6.91831E-14    0.176483
    2.34556 1.00000E-13    0.153062
    2.65204 1.44544E-13    0.132959
    2.99856 2.08930E-13    0.115645
    3.39037 3.01995E-13    0.100721
    3.83336 4.36516E-13   0.0878320
    4.33424 6.30957E-13   0.0766785
    4.90057 9.12011E-13   0.0670132
    5.54089 1.31826E-12   0.0586247
    6.26489 1.90546E-12   0.0513333
    7.08348 2.75423E-12   0.0449871
    8.00903 3.98107E-12   0.0394565
    9.05552 5.75440E-12   0.0346310
    10.2387 8.31764E-12   0.0304160
    11.5766 1.20226E-11   0.0267305
    13.0892 1.73780E-11   0.0235049
    14.7995 2.51189E-11   0.0206793
    16.7332 3.63078E-11   0.0182020
    18.9197 5.24808E-11   0.0160285
    21.3918 7.58578E-11   0.0141203
    24.1869 1.09648E-10   0.0124437
    27.3472 1.58489E-10   0.0109699
    30.9205 2.29087E-10  0.00967361
    34.9607 3.31131E-10  0.00853288
    39.5288 4.78630E-10  0.00752859
    44.6937 6.91831E-10  0.00664403
    50.5336 1.00000E-09  0.00586464
    57.1365 1.44544E-09  0.00517767
    64.6021 2.08930E-09  0.00457196
    73.0432 3.01995E-09  0.00403775
    82.5873 4.36516E-09  0.00356647
    93.3784 6.30957E-09  0.00315061
    105.580 9.12011E-09  0.00278356
    119.375 1.31826E-08  0.00245954
    134.973 1.90546E-08  0.00217344
    152.609 2.75423E-08  0.00192079
    172.549 3.98107E-08  0.00169765
    195.095 5.75440E-08  0.00150053
    220.587 8.31764E-08  0.00132638
    249.410 1.20226E-07  0.00117251
    281.998 1.73780E-07  0.00103655
    318.845 2.51189E-07 0.000916394
    360.507 3.63078E-07 0.000810201
    407.612 5.24808E-07 0.000716341
    460.872 7.58578E-07 0.000633375
    521.091 1.09648E-06 0.000560035
    589.178 1.58489E-06 0.000495201
    666.162 2.29087E-06 0.000437884
    753.205 3.31131E-06 0.000387209
    851.621 4.78630E-06 0.000342406
    962.897 6.91831E-06 0.000302791
    1088.71 1.00000E-05 0.000267764
