'mass'      'radius'    'beta'
1.00000e-21 5.05336e-03 8.70605e-01
1.44544e-21 5.71364e-03 8.71936e-01
2.08930e-21 6.46021e-03 8.73680e-01
3.01995e-21 7.30432e-03 8.75971e-01
4.36516e-21 8.25873e-03 8.78988e-01
6.30957e-21 9.33784e-03 8.82976e-01
9.12011e-21 1.05580e-02 8.88262e-01
1.31826e-20 1.19375e-02 8.95355e-01
1.90546e-20 1.34973e-02 9.04740e-01
2.75423e-20 1.52609e-02 9.17313e-01
3.98107e-20 1.72549e-02 9.34215e-01
5.75440e-20 1.95095e-02 9.56943e-01
8.31764e-20 2.20587e-02 9.87750e-01
1.20226e-19 2.49410e-02 1.02942e+00
1.73780e-19 2.81998e-02 1.08569e+00
2.51189e-19 3.18845e-02 1.16121e+00
3.63078e-19 3.60507e-02 1.26142e+00
5.24807e-19 4.07612e-02 1.39192e+00
7.58578e-19 4.60872e-02 1.55722e+00
1.09648e-18 5.21091e-02 1.75910e+00
1.58489e-18 5.89178e-02 1.99478e+00
2.29087e-18 6.66162e-02 2.25360e+00
3.31131e-18 7.53205e-02 2.51544e+00
4.78630e-18 8.51621e-02 2.75926e+00
6.91831e-18 9.62897e-02 2.96456e+00
1.00000e-17 1.08871e-01 3.10105e+00
1.44544e-17 1.23097e-01 3.15500e+00
2.08930e-17 1.39181e-01 3.13347e+00
3.01995e-17 1.57367e-01 3.03735e+00
4.36516e-17 1.77929e-01 2.88057e+00
6.30957e-17 2.01178e-01 2.67759e+00
9.12011e-17 2.27464e-01 2.44484e+00
1.31826e-16 2.57186e-01 2.20035e+00
1.90546e-16 2.90790e-01 1.95413e+00
2.75423e-16 3.28786e-01 1.71441e+00
3.98107e-16 3.71746e-01 1.49071e+00
5.75440e-16 4.20320e-01 1.28633e+00
8.31764e-16 4.75240e-01 1.10473e+00
1.20226e-15 5.37337e-01 9.45583e-01
1.73780e-15 6.07547e-01 8.07763e-01
2.51189e-15 6.86931e-01 6.89498e-01
3.63078e-15 7.76688e-01 5.88730e-01
5.24807e-15 8.78173e-01 5.03139e-01
7.58578e-15 9.92918e-01 4.30614e-01
1.09648e-14 1.12266e+00 3.69246e-01
1.58489e-14 1.26935e+00 3.17364e-01
2.29087e-14 1.43520e+00 2.73310e-01
3.31131e-14 1.62273e+00 2.35790e-01
4.78630e-14 1.83476e+00 2.03818e-01
6.91831e-14 2.07450e+00 1.76483e-01
1.00000e-13 2.34556e+00 1.53062e-01
1.44544e-13 2.65204e+00 1.32959e-01
2.08930e-13 2.99856e+00 1.15645e-01
3.01995e-13 3.39037e+00 1.00721e-01
4.36516e-13 3.83336e+00 8.78320e-02
6.30957e-13 4.33424e+00 7.66785e-02
9.12011e-13 4.90057e+00 6.70132e-02
1.31826e-12 5.54089e+00 5.86247e-02
1.90546e-12 6.26489e+00 5.13333e-02
2.75423e-12 7.08348e+00 4.49871e-02
3.98107e-12 8.00903e+00 3.94565e-02
5.75440e-12 9.05552e+00 3.46310e-02
8.31764e-12 1.02387e+01 3.04160e-02
1.20226e-11 1.15766e+01 2.67305e-02
1.73780e-11 1.30892e+01 2.35049e-02
2.51189e-11 1.47995e+01 2.06793e-02
3.63078e-11 1.67332e+01 1.82020e-02
5.24808e-11 1.89197e+01 1.60285e-02
7.58578e-11 2.13918e+01 1.41203e-02
1.09648e-10 2.41869e+01 1.24437e-02
1.58489e-10 2.73472e+01 1.09699e-02
2.29087e-10 3.09205e+01 9.67361e-03
3.31131e-10 3.49607e+01 8.53288e-03
4.78630e-10 3.95288e+01 7.52859e-03
6.91831e-10 4.46937e+01 6.64403e-03
1.00000e-09 5.05336e+01 5.86464e-03
1.44544e-09 5.71365e+01 5.17767e-03
2.08930e-09 6.46021e+01 4.57196e-03
3.01995e-09 7.30432e+01 4.03775e-03
4.36516e-09 8.25873e+01 3.56647e-03
6.30957e-09 9.33784e+01 3.15061e-03
9.12011e-09 1.05580e+02 2.78356e-03
1.31826e-08 1.19375e+02 2.45954e-03
1.90546e-08 1.34973e+02 2.17344e-03
2.75423e-08 1.52609e+02 1.92079e-03
3.98107e-08 1.72549e+02 1.69765e-03
5.75440e-08 1.95095e+02 1.50053e-03
8.31764e-08 2.20587e+02 1.32638e-03
1.20226e-07 2.49410e+02 1.17251e-03
1.73780e-07 2.81998e+02 1.03655e-03
2.51189e-07 3.18845e+02 9.16394e-04
3.63078e-07 3.60507e+02 8.10201e-04
5.24808e-07 4.07612e+02 7.16341e-04
7.58578e-07 4.60872e+02 6.33375e-04
1.09648e-06 5.21091e+02 5.60035e-04
1.58489e-06 5.89178e+02 4.95201e-04
2.29087e-06 6.66162e+02 4.37884e-04
3.31131e-06 7.53205e+02 3.87209e-04
4.78630e-06 8.51621e+02 3.42406e-04
6.91831e-06 9.62897e+02 3.02791e-04
1.00000e-05 1.08871e+03 2.67764e-04
