'radius'    'mass'      'beta'
5.05336e-03 1.00000e-21 1.20258e+00
5.71364e-03 1.44544e-21 1.20407e+00
6.46021e-03 2.08930e-21 1.20602e+00
7.30432e-03 3.01995e-21 1.20859e+00
8.25873e-03 4.36516e-21 1.21197e+00
9.33784e-03 6.30957e-21 1.21642e+00
1.05580e-02 9.12011e-21 1.22231e+00
1.19375e-02 1.31826e-20 1.23020e+00
1.34973e-02 1.90546e-20 1.24056e+00
1.52609e-02 2.75423e-20 1.25434e+00
1.72549e-02 3.98107e-20 1.27266e+00
1.95095e-02 5.75440e-20 1.29700e+00
2.20587e-02 8.31764e-20 1.32918e+00
2.49410e-02 1.20226e-19 1.37170e+00
2.81998e-02 1.73780e-19 1.42719e+00
3.18845e-02 2.51189e-19 1.49854e+00
3.60507e-02 3.63078e-19 1.58830e+00
4.07612e-02 5.24807e-19 1.69790e+00
4.60872e-02 7.58578e-19 1.82655e+00
5.21091e-02 1.09648e-18 1.97061e+00
5.89178e-02 1.58489e-18 2.12388e+00
6.66162e-02 2.29087e-18 2.27831e+00
7.53205e-02 3.31131e-18 2.42395e+00
8.51621e-02 4.78630e-18 2.55081e+00
9.62897e-02 6.91831e-18 2.65227e+00
1.08871e-01 1.00000e-17 2.72261e+00
1.23097e-01 1.44544e-17 2.75632e+00
1.39181e-01 2.08930e-17 2.75192e+00
1.57367e-01 3.01995e-17 2.70914e+00
1.77929e-01 4.36516e-17 2.63225e+00
2.01178e-01 6.30957e-17 2.52415e+00
2.27464e-01 9.12011e-17 2.39014e+00
2.57186e-01 1.31826e-16 2.23645e+00
2.90790e-01 1.90546e-16 2.06916e+00
3.28786e-01 2.75423e-16 1.89369e+00
3.71746e-01 3.98107e-16 1.71581e+00
4.20320e-01 5.75440e-16 1.53995e+00
4.75240e-01 8.31764e-16 1.37052e+00
5.37337e-01 1.20226e-15 1.21073e+00
6.07547e-01 1.73780e-15 1.06322e+00
6.86931e-01 2.51189e-15 9.28785e-01
7.76688e-01 3.63078e-15 8.08257e-01
8.78173e-01 5.24807e-15 7.01484e-01
9.92918e-01 7.58578e-15 6.07761e-01
1.12266e+00 1.09648e-14 5.26080e-01
1.26935e+00 1.58489e-14 4.55203e-01
1.43520e+00 2.29087e-14 3.93900e-01
1.62273e+00 3.31131e-14 3.41169e-01
1.83476e+00 4.78630e-14 2.95732e-01
2.07450e+00 6.91831e-14 2.56641e-01
2.34556e+00 1.00000e-13 2.22997e-01
2.65204e+00 1.44544e-13 1.93991e-01
2.99856e+00 2.08930e-13 1.68977e-01
3.39037e+00 3.01995e-13 1.47340e-01
3.83336e+00 4.36516e-13 1.28621e-01
4.33424e+00 6.30957e-13 1.12403e-01
4.90057e+00 9.12011e-13 9.83241e-02
5.54089e+00 1.31826e-12 8.60865e-02
6.26489e+00 1.90546e-12 7.54355e-02
7.08348e+00 2.75423e-12 6.61553e-02
8.00903e+00 3.98107e-12 5.80594e-02
9.05552e+00 5.75440e-12 5.09894e-02
1.02387e+01 8.31764e-12 4.48086e-02
1.15766e+01 1.20226e-11 3.94000e-02
1.30892e+01 1.73780e-11 3.46628e-02
1.47995e+01 2.51189e-11 3.05102e-02
1.67332e+01 3.63078e-11 2.68671e-02
1.89197e+01 5.24808e-11 2.36687e-02
2.13918e+01 7.58578e-11 2.08589e-02
2.41869e+01 1.09648e-10 1.83889e-02
2.73472e+01 1.58489e-10 1.62165e-02
3.09205e+01 2.29087e-10 1.43047e-02
3.49607e+01 3.31131e-10 1.26216e-02
3.95288e+01 4.78630e-10 1.11391e-02
4.46937e+01 6.91831e-10 9.83282e-03
5.05336e+01 1.00000e-09 8.68139e-03
5.71365e+01 1.44544e-09 7.66613e-03
6.46021e+01 2.08930e-09 6.77066e-03
7.30432e+01 3.01995e-09 5.98064e-03
8.25873e+01 4.36516e-09 5.28348e-03
9.33784e+01 6.30957e-09 4.66813e-03
1.05580e+02 9.12011e-09 4.12488e-03
1.19375e+02 1.31826e-08 3.64519e-03
1.34973e+02 1.90546e-08 3.22156e-03
1.52609e+02 2.75423e-08 2.84738e-03
1.72549e+02 3.98107e-08 2.51684e-03
1.95095e+02 5.75440e-08 2.22480e-03
2.20587e+02 8.31764e-08 1.96676e-03
2.49410e+02 1.20226e-07 1.73873e-03
2.81998e+02 1.73780e-07 1.53721e-03
3.18845e+02 2.51189e-07 1.35911e-03
3.60507e+02 3.63078e-07 1.20168e-03
4.07612e+02 5.24808e-07 1.06252e-03
4.60872e+02 7.58578e-07 9.39501e-04
5.21091e+02 1.09648e-06 8.30749e-04
5.89178e+02 1.58489e-06 7.34603e-04
6.66162e+02 2.29087e-06 6.49597e-04
7.53205e+02 3.31131e-06 5.74439e-04
8.51621e+02 4.78630e-06 5.07985e-04
9.62897e+02 6.91831e-06 4.49225e-04
1.08871e+03 1.00000e-05 3.97268e-04
