'radius'    'mass'      'beta'
5.05336e-03 1.00000e-21 1.05864e+00
5.71364e-03 1.44544e-21 1.05951e+00
6.46021e-03 2.08930e-21 1.06066e+00
7.30432e-03 3.01995e-21 1.06217e+00
8.25873e-03 4.36516e-21 1.06418e+00
9.33784e-03 6.30957e-21 1.06683e+00
1.05580e-02 9.12011e-21 1.07035e+00
1.19375e-02 1.31826e-20 1.07500e+00
1.34973e-02 1.90546e-20 1.08112e+00
1.52609e-02 2.75423e-20 1.08922e+00
1.72549e-02 3.98107e-20 1.09965e+00
1.95095e-02 5.75440e-20 1.11305e+00
2.20587e-02 8.31764e-20 1.13002e+00
2.49410e-02 1.20226e-19 1.15104e+00
2.81998e-02 1.73780e-19 1.17629e+00
3.18845e-02 2.51189e-19 1.20577e+00
3.60507e-02 3.63078e-19 1.23862e+00
4.07612e-02 5.24807e-19 1.27348e+00
4.60872e-02 7.58578e-19 1.30818e+00
5.21091e-02 1.09648e-18 1.34069e+00
5.89178e-02 1.58489e-18 1.36959e+00
6.66162e-02 2.29087e-18 1.39372e+00
7.53205e-02 3.31131e-18 1.41248e+00
8.51621e-02 4.78630e-18 1.42604e+00
9.62897e-02 6.91831e-18 1.43499e+00
1.08871e-01 1.00000e-17 1.43901e+00
1.23097e-01 1.44544e-17 1.43727e+00
1.39181e-01 2.08930e-17 1.43008e+00
1.57367e-01 3.01995e-17 1.41792e+00
1.77929e-01 4.36516e-17 1.40053e+00
2.01178e-01 6.30957e-17 1.37831e+00
2.27464e-01 9.12011e-17 1.35163e+00
2.57186e-01 1.31826e-16 1.32100e+00
2.90790e-01 1.90546e-16 1.28689e+00
3.28786e-01 2.75423e-16 1.24940e+00
3.71746e-01 3.98107e-16 1.20880e+00
4.20320e-01 5.75440e-16 1.16545e+00
4.75240e-01 8.31764e-16 1.11957e+00
5.37337e-01 1.20226e-15 1.07145e+00
6.07547e-01 1.73780e-15 1.02138e+00
6.86931e-01 2.51189e-15 9.69657e-01
7.76688e-01 3.63078e-15 9.16576e-01
8.78173e-01 5.24807e-15 8.62501e-01
9.92918e-01 7.58578e-15 8.07802e-01
1.12266e+00 1.09648e-14 7.52895e-01
1.26935e+00 1.58489e-14 6.98209e-01
1.43520e+00 2.29087e-14 6.44217e-01
1.62273e+00 3.31131e-14 5.91339e-01
1.83476e+00 4.78630e-14 5.40077e-01
2.07450e+00 6.91831e-14 4.90820e-01
2.34556e+00 1.00000e-13 4.43966e-01
2.65204e+00 1.44544e-13 3.99816e-01
2.99856e+00 2.08930e-13 3.58619e-01
3.39037e+00 3.01995e-13 3.20530e-01
3.83336e+00 4.36516e-13 2.85581e-01
4.33424e+00 6.30957e-13 2.53805e-01
4.90057e+00 9.12011e-13 2.25071e-01
5.54089e+00 1.31826e-12 1.99250e-01
6.26489e+00 1.90546e-12 1.76155e-01
7.08348e+00 2.75423e-12 1.55579e-01
8.00903e+00 3.98107e-12 1.37306e-01
9.05552e+00 5.75440e-12 1.21121e-01
1.02387e+01 8.31764e-12 1.06811e-01
1.15766e+01 1.20226e-11 9.41791e-02
1.30892e+01 1.73780e-11 8.30373e-02
1.47995e+01 2.51189e-11 7.32166e-02
1.67332e+01 3.63078e-11 6.45636e-02
1.89197e+01 5.24808e-11 5.69408e-02
2.13918e+01 7.58578e-11 5.02263e-02
2.41869e+01 1.09648e-10 4.43112e-02
2.73472e+01 1.58489e-10 3.90998e-02
3.09205e+01 2.29087e-10 3.45075e-02
3.49607e+01 3.31131e-10 3.04599e-02
3.95288e+01 4.78630e-10 2.68915e-02
4.46937e+01 6.91831e-10 2.37450e-02
5.05336e+01 1.00000e-09 2.09697e-02
5.71365e+01 1.44544e-09 1.85215e-02
6.46021e+01 2.08930e-09 1.63611e-02
7.30432e+01 3.01995e-09 1.44544e-02
8.25873e+01 4.36516e-09 1.27713e-02
9.33784e+01 6.30957e-09 1.12853e-02
1.05580e+02 9.12011e-09 9.97311e-03
1.19375e+02 1.31826e-08 8.81419e-03
1.34973e+02 1.90546e-08 7.79050e-03
1.52609e+02 2.75423e-08 6.88617e-03
1.72549e+02 3.98107e-08 6.08717e-03
1.95095e+02 5.75440e-08 5.38117e-03
2.20587e+02 8.31764e-08 4.75728e-03
2.49410e+02 1.20226e-07 4.20592e-03
2.81998e+02 1.73780e-07 3.71860e-03
3.18845e+02 2.51189e-07 3.28786e-03
3.60507e+02 3.63078e-07 2.90711e-03
4.07612e+02 5.24808e-07 2.57052e-03
4.60872e+02 7.58578e-07 2.27297e-03
5.21091e+02 1.09648e-06 2.00990e-03
5.89178e+02 1.58489e-06 1.77732e-03
6.66162e+02 2.29087e-06 1.57168e-03
7.53205e+02 3.31131e-06 1.38986e-03
8.51621e+02 4.78630e-06 1.22909e-03
9.62897e+02 6.91831e-06 1.08693e-03
1.08871e+03 1.00000e-05 9.61223e-04
