'mass'      'radius'    'beta'
1.00000e-21 4.16677e-03 8.26739e-02
1.44544e-21 4.71121e-03 8.27659e-02
2.08930e-21 5.32679e-03 8.28914e-02
3.01995e-21 6.02281e-03 8.30632e-02
4.36516e-21 6.80977e-03 8.32990e-02
6.30957e-21 7.69956e-03 8.36240e-02
9.12011e-21 8.70561e-03 8.40736e-02
1.31826e-20 9.84311e-03 8.46976e-02
1.90546e-20 1.11293e-02 8.55664e-02
2.75423e-20 1.25834e-02 8.67798e-02
3.98107e-20 1.42276e-02 8.84790e-02
5.75440e-20 1.60867e-02 9.08705e-02
8.31764e-20 1.81886e-02 9.42197e-02
1.20226e-19 2.05652e-02 9.89446e-02
1.73780e-19 2.32523e-02 1.05599e-01
2.51189e-19 2.62905e-02 1.14952e-01
3.63078e-19 2.97257e-02 1.28034e-01
5.24807e-19 3.36098e-02 1.46158e-01
7.58578e-19 3.80014e-02 1.70863e-01
1.09648e-18 4.29667e-02 2.03777e-01
1.58489e-18 4.85809e-02 2.46386e-01
2.29087e-18 5.49287e-02 2.99219e-01
3.31131e-18 6.21058e-02 3.61043e-01
4.78630e-18 7.02208e-02 4.30997e-01
6.91831e-18 7.93961e-02 5.08244e-01
1.00000e-17 8.97703e-02 5.87213e-01
1.44544e-17 1.01500e-01 6.61442e-01
2.08930e-17 1.14762e-01 7.31387e-01
3.01995e-17 1.29757e-01 7.91285e-01
4.36516e-17 1.46712e-01 8.32789e-01
6.30957e-17 1.65882e-01 8.55329e-01
9.12011e-17 1.87557e-01 8.58518e-01
1.31826e-16 2.12063e-01 8.45240e-01
1.90546e-16 2.39772e-01 8.14411e-01
2.75423e-16 2.71102e-01 7.70113e-01
3.98107e-16 3.06525e-01 7.15410e-01
5.75440e-16 3.46577e-01 6.55048e-01
8.31764e-16 3.91861e-01 5.90584e-01
1.20226e-15 4.43063e-01 5.26058e-01
1.73780e-15 5.00955e-01 4.63502e-01
2.51189e-15 5.66412e-01 4.05454e-01
3.63078e-15 6.40421e-01 3.52070e-01
5.24807e-15 7.24101e-01 3.06448e-01
7.58578e-15 8.18715e-01 2.64934e-01
1.09648e-14 9.25690e-01 2.29993e-01
1.58489e-14 1.04664e+00 1.99072e-01
2.29087e-14 1.18340e+00 1.72817e-01
3.31131e-14 1.33803e+00 1.50735e-01
4.78630e-14 1.51286e+00 1.30932e-01
6.91831e-14 1.71054e+00 1.14182e-01
1.00000e-13 1.93404e+00 9.96682e-02
1.44544e-13 2.18675e+00 8.73814e-02
2.08930e-13 2.47248e+00 7.66181e-02
3.01995e-13 2.79554e+00 6.72240e-02
4.36516e-13 3.16082e+00 5.89662e-02
6.30957e-13 3.57382e+00 5.17412e-02
9.12011e-13 4.04079e+00 4.54152e-02
1.31826e-12 4.56877e+00 3.98576e-02
1.90546e-12 5.16574e+00 3.50040e-02
2.75423e-12 5.84071e+00 3.07326e-02
3.98107e-12 6.60388e+00 2.69877e-02
5.75440e-12 7.46676e+00 2.37052e-02
8.31764e-12 8.44240e+00 2.08249e-02
1.20226e-11 9.54551e+00 1.82990e-02
1.73780e-11 1.07928e+01 1.60852e-02
2.51189e-11 1.22030e+01 1.41441e-02
3.63078e-11 1.37975e+01 1.24415e-02
5.24808e-11 1.56003e+01 1.09482e-02
7.58578e-11 1.76387e+01 9.63790e-03
1.09648e-10 1.99434e+01 8.48768e-03
1.58489e-10 2.25493e+01 7.47749e-03
2.29087e-10 2.54956e+01 6.58984e-03
3.31131e-10 2.88270e+01 5.80946e-03
4.78630e-10 3.25936e+01 5.12305e-03
6.91831e-10 3.68524e+01 4.51901e-03
1.00000e-09 4.16677e+01 3.98721e-03
1.44544e-09 4.71121e+01 3.51882e-03
2.08930e-09 5.32679e+01 3.10611e-03
3.01995e-09 6.02281e+01 2.74234e-03
4.36516e-09 6.80977e+01 2.42159e-03
6.30957e-09 7.69956e+01 2.13870e-03
9.12011e-09 8.70561e+01 1.88913e-03
1.31826e-08 9.84311e+01 1.66889e-03
1.90546e-08 1.11293e+02 1.47450e-03
2.75423e-08 1.25834e+02 1.30290e-03
3.98107e-08 1.42276e+02 1.15137e-03
5.75440e-08 1.60867e+02 1.01755e-03
8.31764e-08 1.81886e+02 8.99359e-04
1.20226e-07 2.05652e+02 7.94948e-04
1.73780e-07 2.32523e+02 7.02703e-04
2.51189e-07 2.62905e+02 6.21197e-04
3.63078e-07 2.97257e+02 5.49173e-04
5.24808e-07 3.36098e+02 4.85521e-04
7.58578e-07 3.80014e+02 4.29264e-04
1.09648e-06 4.29668e+02 3.79540e-04
1.58489e-06 4.85809e+02 3.35586e-04
2.29087e-06 5.49287e+02 2.96732e-04
3.31131e-06 6.21058e+02 2.62383e-04
4.78630e-06 7.02208e+02 2.32015e-04
6.91831e-06 7.93961e+02 2.05167e-04
1.00000e-05 8.97703e+02 1.81429e-04
