'radius'    'mass'      'beta'
4.16677e-03 1.00000e-21 9.20935e-02
4.71121e-03 1.44544e-21 9.21677e-02
5.32679e-03 2.08930e-21 9.22704e-02
6.02281e-03 3.01995e-21 9.24126e-02
6.80977e-03 4.36516e-21 9.26099e-02
7.69956e-03 6.30957e-21 9.28840e-02
8.70561e-03 9.12011e-21 9.32646e-02
9.84311e-03 1.31826e-20 9.37923e-02
1.11293e-02 1.90546e-20 9.45224e-02
1.25834e-02 2.75423e-20 9.55286e-02
1.42276e-02 3.98107e-20 9.69069e-02
1.60867e-02 5.75440e-20 9.87861e-02
1.81886e-02 8.31764e-20 1.01301e-01
2.05652e-02 1.20226e-19 1.04620e-01
2.32523e-02 1.73780e-19 1.08928e-01
2.62905e-02 2.51189e-19 1.14365e-01
2.97257e-02 3.63078e-19 1.20997e-01
3.36098e-02 5.24807e-19 1.28754e-01
3.80014e-02 7.58578e-19 1.37378e-01
4.29667e-02 1.09648e-18 1.46404e-01
4.85809e-02 1.58489e-18 1.55226e-01
5.49287e-02 2.29087e-18 1.63256e-01
6.21058e-02 3.31131e-18 1.70115e-01
7.02208e-02 4.78630e-18 1.75654e-01
7.93961e-02 6.91831e-18 1.79848e-01
8.97703e-02 1.00000e-17 1.82891e-01
1.01500e-01 1.44544e-17 1.85157e-01
1.14762e-01 2.08930e-17 1.86567e-01
1.29757e-01 3.01995e-17 1.86900e-01
1.46712e-01 4.36516e-17 1.86379e-01
1.65882e-01 6.30957e-17 1.85203e-01
1.87557e-01 9.12011e-17 1.83254e-01
2.12063e-01 1.31826e-16 1.80733e-01
2.39772e-01 1.90546e-16 1.77694e-01
2.71102e-01 2.75423e-16 1.74318e-01
3.06525e-01 3.98107e-16 1.70724e-01
3.46577e-01 5.75440e-16 1.66923e-01
3.91861e-01 8.31764e-16 1.62965e-01
4.43063e-01 1.20226e-15 1.58938e-01
5.00955e-01 1.73780e-15 1.54858e-01
5.66412e-01 2.51189e-15 1.50759e-01
6.40421e-01 3.63078e-15 1.46668e-01
7.24101e-01 5.24807e-15 1.42598e-01
8.18715e-01 7.58578e-15 1.38538e-01
9.25690e-01 1.09648e-14 1.34497e-01
1.04664e+00 1.58489e-14 1.30464e-01
1.18340e+00 2.29087e-14 1.26432e-01
1.33803e+00 3.31131e-14 1.22382e-01
1.51286e+00 4.78630e-14 1.18294e-01
1.71054e+00 6.91831e-14 1.14144e-01
1.93404e+00 1.00000e-13 1.09928e-01
2.18675e+00 1.44544e-13 1.05621e-01
2.47248e+00 2.08930e-13 1.01214e-01
2.79554e+00 3.01995e-13 9.66982e-02
3.16082e+00 4.36516e-13 9.21152e-02
3.57382e+00 6.30957e-13 8.74003e-02
4.04079e+00 9.12011e-13 8.26167e-02
4.56877e+00 1.31826e-12 7.78454e-02
5.16574e+00 1.90546e-12 7.30315e-02
5.84071e+00 2.75423e-12 6.82868e-02
6.60388e+00 3.98107e-12 6.36040e-02
7.46676e+00 5.75440e-12 5.89934e-02
8.44240e+00 8.31764e-12 5.45206e-02
9.54551e+00 1.20226e-11 5.01804e-02
1.07928e+01 1.73780e-11 4.60081e-02
1.22030e+01 2.51189e-11 4.20103e-02
1.37975e+01 3.63078e-11 3.82190e-02
1.56003e+01 5.24808e-11 3.46315e-02
1.76387e+01 7.58578e-11 3.12727e-02
1.99434e+01 1.09648e-10 2.81428e-02
2.25493e+01 1.58489e-10 2.52505e-02
2.54956e+01 2.29087e-10 2.25930e-02
2.88270e+01 3.31131e-10 2.01667e-02
3.25936e+01 4.78630e-10 1.79625e-02
3.68524e+01 6.91831e-10 1.59707e-02
4.16677e+01 1.00000e-09 1.41787e-02
4.71121e+01 1.44544e-09 1.25727e-02
5.32679e+01 2.08930e-09 1.11380e-02
6.02281e+01 3.01995e-09 9.85971e-03
6.80977e+01 4.36516e-09 8.72346e-03
7.69956e+01 6.30957e-09 7.71517e-03
8.70561e+01 9.12011e-09 6.82163e-03
9.84311e+01 1.31826e-08 6.03059e-03
1.11293e+02 1.90546e-08 5.33078e-03
1.25834e+02 2.75423e-08 4.71201e-03
1.42276e+02 3.98107e-08 4.16504e-03
1.60867e+02 5.75440e-08 3.68164e-03
1.81886e+02 8.31764e-08 3.25445e-03
2.05652e+02 1.20226e-07 2.87695e-03
2.32523e+02 1.73780e-07 2.54334e-03
2.62905e+02 2.51189e-07 2.24851e-03
2.97257e+02 3.63078e-07 1.98794e-03
3.36098e+02 5.24808e-07 1.75763e-03
3.80014e+02 7.58578e-07 1.55405e-03
4.29668e+02 1.09648e-06 1.37409e-03
4.85809e+02 1.58489e-06 1.21501e-03
5.49287e+02 2.29087e-06 1.07437e-03
6.21058e+02 3.31131e-06 9.50032e-04
7.02208e+02 4.78630e-06 8.40100e-04
7.93961e+02 6.91831e-06 7.42902e-04
8.97703e+02 1.00000e-05 6.56960e-04
