'radius'    'mass'      'beta'
4.16677e-03 1.00000e-21 9.93195e-02
4.71121e-03 1.44544e-21 9.94174e-02
5.32679e-03 2.08930e-21 9.95513e-02
6.02281e-03 3.01995e-21 9.97352e-02
6.80977e-03 4.36516e-21 9.99883e-02
7.69956e-03 6.30957e-21 1.00338e-01
8.70561e-03 9.12011e-21 1.00822e-01
9.84311e-03 1.31826e-20 1.01495e-01
1.11293e-02 1.90546e-20 1.02430e-01
1.25834e-02 2.75423e-20 1.03734e-01
1.42276e-02 3.98107e-20 1.05560e-01
1.60867e-02 5.75440e-20 1.08096e-01
1.81886e-02 8.31764e-20 1.11622e-01
2.05652e-02 1.20226e-19 1.16529e-01
2.32523e-02 1.73780e-19 1.23310e-01
2.62905e-02 2.51189e-19 1.32603e-01
2.97257e-02 3.63078e-19 1.45174e-01
3.36098e-02 5.24807e-19 1.61859e-01
3.80014e-02 7.58578e-19 1.83429e-01
4.29667e-02 1.09648e-18 2.10367e-01
4.85809e-02 1.58489e-18 2.42592e-01
5.49287e-02 2.29087e-18 2.79145e-01
6.21058e-02 3.31131e-18 3.18102e-01
7.02208e-02 4.78630e-18 3.57483e-01
7.93961e-02 6.91831e-18 3.96022e-01
8.97703e-02 1.00000e-17 4.31746e-01
1.01500e-01 1.44544e-17 4.62778e-01
1.14762e-01 2.08930e-17 4.89809e-01
1.29757e-01 3.01995e-17 5.13123e-01
1.46712e-01 4.36516e-17 5.29779e-01
1.65882e-01 6.30957e-17 5.39141e-01
1.87557e-01 9.12011e-17 5.42381e-01
2.12063e-01 1.31826e-16 5.39576e-01
2.39772e-01 1.90546e-16 5.30658e-01
2.71102e-01 2.75423e-16 5.16515e-01
3.06525e-01 3.98107e-16 4.97630e-01
3.46577e-01 5.75440e-16 4.75332e-01
3.91861e-01 8.31764e-16 4.50121e-01
4.43063e-01 1.20226e-15 4.22502e-01
5.00955e-01 1.73780e-15 3.93141e-01
5.66412e-01 2.51189e-15 3.62752e-01
6.40421e-01 3.63078e-15 3.31988e-01
7.24101e-01 5.24807e-15 3.01805e-01
8.18715e-01 7.58578e-15 2.72471e-01
9.25690e-01 1.09648e-14 2.44904e-01
1.04664e+00 1.58489e-14 2.19191e-01
1.18340e+00 2.29087e-14 1.95432e-01
1.33803e+00 3.31131e-14 1.74432e-01
1.51286e+00 4.78630e-14 1.56017e-01
1.71054e+00 6.91831e-14 1.38713e-01
1.93404e+00 1.00000e-13 1.23835e-01
2.18675e+00 1.44544e-13 1.10692e-01
2.47248e+00 2.08930e-13 9.85907e-02
2.79554e+00 3.01995e-13 8.78880e-02
3.16082e+00 4.36516e-13 7.83968e-02
3.57382e+00 6.30957e-13 6.99104e-02
4.04079e+00 9.12011e-13 6.22599e-02
4.56877e+00 1.31826e-12 5.53675e-02
5.16574e+00 1.90546e-12 4.91843e-02
5.84071e+00 2.75423e-12 4.36563e-02
6.60388e+00 3.98107e-12 3.86951e-02
7.46676e+00 5.75440e-12 3.42603e-02
8.44240e+00 8.31764e-12 3.02983e-02
9.54551e+00 1.20226e-11 2.67732e-02
1.07928e+01 1.73780e-11 2.36395e-02
1.22030e+01 2.51189e-11 2.08615e-02
1.37975e+01 3.63078e-11 1.84035e-02
1.56003e+01 5.24808e-11 1.62301e-02
1.76387e+01 7.58578e-11 1.43118e-02
1.99434e+01 1.09648e-10 1.26196e-02
2.25493e+01 1.58489e-10 1.11280e-02
2.54956e+01 2.29087e-10 9.81379e-03
2.88270e+01 3.31131e-10 8.65612e-03
3.25936e+01 4.78630e-10 7.63639e-03
3.68524e+01 6.91831e-10 6.73809e-03
4.16677e+01 1.00000e-09 5.94662e-03
4.71121e+01 1.44544e-09 5.24914e-03
5.32679e+01 2.08930e-09 4.63431e-03
6.02281e+01 3.01995e-09 4.09219e-03
6.80977e+01 4.36516e-09 3.61406e-03
7.69956e+01 6.30957e-09 3.19225e-03
8.70561e+01 9.12011e-09 2.82005e-03
9.84311e+01 1.31826e-08 2.49154e-03
1.11293e+02 1.90546e-08 2.20153e-03
1.25834e+02 2.75423e-08 1.94547e-03
1.42276e+02 3.98107e-08 1.71934e-03
1.60867e+02 5.75440e-08 1.51961e-03
1.81886e+02 8.31764e-08 1.34318e-03
2.05652e+02 1.20226e-07 1.18731e-03
2.32523e+02 1.73780e-07 1.04959e-03
2.62905e+02 2.51189e-07 9.27889e-04
2.97257e+02 3.63078e-07 8.20338e-04
3.36098e+02 5.24808e-07 7.25283e-04
3.80014e+02 7.58578e-07 6.41267e-04
4.29668e+02 1.09648e-06 5.67001e-04
4.85809e+02 1.58489e-06 5.01351e-04
5.49287e+02 2.29087e-06 4.43315e-04
6.21058e+02 3.31131e-06 3.92006e-04
7.02208e+02 4.78630e-06 3.46643e-04
7.93961e+02 6.91831e-06 3.06535e-04
8.97703e+02 1.00000e-05 2.71072e-04
