'radius'    'mass'      'beta'
5.05336e-03 1.00000e-21 1.19161e+00
5.71364e-03 1.44544e-21 1.19281e+00
6.46021e-03 2.08930e-21 1.19439e+00
7.30432e-03 3.01995e-21 1.19646e+00
8.25873e-03 4.36516e-21 1.19920e+00
9.33784e-03 6.30957e-21 1.20282e+00
1.05580e-02 9.12011e-21 1.20761e+00
1.19375e-02 1.31826e-20 1.21394e+00
1.34973e-02 1.90546e-20 1.22242e+00
1.52609e-02 2.75423e-20 1.23351e+00
1.72549e-02 3.98107e-20 1.24813e+00
1.95095e-02 5.75440e-20 1.26731e+00
2.20587e-02 8.31764e-20 1.29226e+00
2.49410e-02 1.20226e-19 1.32425e+00
2.81998e-02 1.73780e-19 1.36477e+00
3.18845e-02 2.51189e-19 1.41477e+00
3.60507e-02 3.63078e-19 1.47458e+00
4.07612e-02 5.24807e-19 1.54333e+00
4.60872e-02 7.58578e-19 1.61862e+00
5.21091e-02 1.09648e-18 1.69669e+00
5.89178e-02 1.58489e-18 1.77335e+00
6.66162e-02 2.29087e-18 1.84418e+00
7.53205e-02 3.31131e-18 1.90602e+00
8.51621e-02 4.78630e-18 1.95599e+00
9.62897e-02 6.91831e-18 1.99343e+00
1.08871e-01 1.00000e-17 2.01845e+00
1.23097e-01 1.44544e-17 2.02926e+00
1.39181e-01 2.08930e-17 2.02443e+00
1.57367e-01 3.01995e-17 2.00471e+00
1.77929e-01 4.36516e-17 1.97113e+00
2.01178e-01 6.30957e-17 1.92385e+00
2.27464e-01 9.12011e-17 1.86430e+00
2.57186e-01 1.31826e-16 1.79405e+00
2.90790e-01 1.90546e-16 1.71510e+00
3.28786e-01 2.75423e-16 1.62901e+00
3.71746e-01 3.98107e-16 1.53704e+00
4.20320e-01 5.75440e-16 1.44072e+00
4.75240e-01 8.31764e-16 1.34168e+00
5.37337e-01 1.20226e-15 1.24125e+00
6.07547e-01 1.73780e-15 1.14099e+00
6.86931e-01 2.51189e-15 1.04217e+00
7.76688e-01 3.63078e-15 9.46057e-01
8.78173e-01 5.24807e-15 8.53736e-01
9.92918e-01 7.58578e-15 7.66116e-01
1.12266e+00 1.09648e-14 6.83961e-01
1.26935e+00 1.58489e-14 6.08224e-01
1.43520e+00 2.29087e-14 5.38377e-01
1.62273e+00 3.31131e-14 4.75402e-01
1.83476e+00 4.78630e-14 4.18569e-01
2.07450e+00 6.91831e-14 3.67816e-01
2.34556e+00 1.00000e-13 3.22786e-01
2.65204e+00 1.44544e-13 2.83049e-01
2.99856e+00 2.08930e-13 2.48085e-01
3.39037e+00 3.01995e-13 2.17393e-01
3.83336e+00 4.36516e-13 1.90477e-01
4.33424e+00 6.30957e-13 1.66958e-01
4.90057e+00 9.12011e-13 1.46387e-01
5.54089e+00 1.31826e-12 1.28410e-01
6.26489e+00 1.90546e-12 1.12698e-01
7.08348e+00 2.75423e-12 9.89564e-02
8.00903e+00 3.98107e-12 8.69369e-02
9.05552e+00 5.75440e-12 7.64157e-02
1.02387e+01 8.31764e-12 6.72013e-02
1.15766e+01 1.20226e-11 5.91256e-02
1.30892e+01 1.73780e-11 5.20436e-02
1.47995e+01 2.51189e-11 4.58290e-02
1.67332e+01 3.63078e-11 4.03723e-02
1.89197e+01 5.24808e-11 3.55782e-02
2.13918e+01 7.58578e-11 3.13638e-02
2.41869e+01 1.09648e-10 2.76572e-02
2.73472e+01 1.58489e-10 2.43956e-02
3.09205e+01 2.29087e-10 2.15241e-02
3.49607e+01 3.31131e-10 1.89951e-02
3.95288e+01 4.78630e-10 1.67669e-02
4.46937e+01 6.91831e-10 1.48029e-02
5.05336e+01 1.00000e-09 1.30713e-02
5.71365e+01 1.44544e-09 1.15440e-02
6.46021e+01 2.08930e-09 1.01967e-02
7.30432e+01 3.01995e-09 9.00784e-03
8.25873e+01 4.36516e-09 7.95851e-03
9.33784e+01 6.30957e-09 7.03217e-03
1.05580e+02 9.12011e-09 6.21425e-03
1.19375e+02 1.31826e-08 5.49194e-03
1.34973e+02 1.90546e-08 4.85397e-03
1.52609e+02 2.75423e-08 4.29041e-03
1.72549e+02 3.98107e-08 3.79252e-03
1.95095e+02 5.75440e-08 3.35260e-03
2.20587e+02 8.31764e-08 2.96386e-03
2.49410e+02 1.20226e-07 2.62032e-03
2.81998e+02 1.73780e-07 2.31670e-03
3.18845e+02 2.51189e-07 2.04833e-03
3.60507e+02 3.63078e-07 1.81111e-03
4.07612e+02 5.24808e-07 1.60141e-03
4.60872e+02 7.58578e-07 1.41603e-03
5.21091e+02 1.09648e-06 1.25213e-03
5.89178e+02 1.58489e-06 1.10724e-03
6.66162e+02 2.29087e-06 9.79124e-04
7.53205e+02 3.31131e-06 8.65850e-04
8.51621e+02 4.78630e-06 7.65692e-04
9.62897e+02 6.91831e-06 6.77129e-04
1.08871e+03 1.00000e-05 5.98818e-04
