'radius'    'mass'      'beta'
4.16677e-03 1.00000e-21 8.73314e-02
4.71121e-03 1.44544e-21 8.73958e-02
5.32679e-03 2.08930e-21 8.74853e-02
6.02281e-03 3.01995e-21 8.76095e-02
6.80977e-03 4.36516e-21 8.77820e-02
7.69956e-03 6.30957e-21 8.80209e-02
8.70561e-03 9.12011e-21 8.83511e-02
9.84311e-03 1.31826e-20 8.88052e-02
1.11293e-02 1.90546e-20 8.94260e-02
1.25834e-02 2.75423e-20 9.02668e-02
1.42276e-02 3.98107e-20 9.13921e-02
1.60867e-02 5.75440e-20 9.28745e-02
1.81886e-02 8.31764e-20 9.47938e-02
2.05652e-02 1.20226e-19 9.71981e-02
2.32523e-02 1.73780e-19 1.00121e-01
2.62905e-02 2.51189e-19 1.03526e-01
2.97257e-02 3.63078e-19 1.07314e-01
3.36098e-02 5.24807e-19 1.11285e-01
3.80014e-02 7.58578e-19 1.15161e-01
4.29667e-02 1.09648e-18 1.18669e-01
4.85809e-02 1.58489e-18 1.21633e-01
5.49287e-02 2.29087e-18 1.23970e-01
6.21058e-02 3.31131e-18 1.25688e-01
7.02208e-02 4.78630e-18 1.26855e-01
7.93961e-02 6.91831e-18 1.27627e-01
8.97703e-02 1.00000e-17 1.28087e-01
1.01500e-01 1.44544e-17 1.28133e-01
1.14762e-01 2.08930e-17 1.27788e-01
1.29757e-01 3.01995e-17 1.27197e-01
1.46712e-01 4.36516e-17 1.26316e-01
1.65882e-01 6.30957e-17 1.25192e-01
1.87557e-01 9.12011e-17 1.23877e-01
2.12063e-01 1.31826e-16 1.22418e-01
2.39772e-01 1.90546e-16 1.20880e-01
2.71102e-01 2.75423e-16 1.19274e-01
3.06525e-01 3.98107e-16 1.17611e-01
3.46577e-01 5.75440e-16 1.15925e-01
3.91861e-01 8.31764e-16 1.14232e-01
4.43063e-01 1.20226e-15 1.12532e-01
5.00955e-01 1.73780e-15 1.10851e-01
5.66412e-01 2.51189e-15 1.09177e-01
6.40421e-01 3.63078e-15 1.07520e-01
7.24101e-01 5.24807e-15 1.05880e-01
8.18715e-01 7.58578e-15 1.04249e-01
9.25690e-01 1.09648e-14 1.02622e-01
1.04664e+00 1.58489e-14 1.00993e-01
1.18340e+00 2.29087e-14 9.93551e-02
1.33803e+00 3.31131e-14 9.77010e-02
1.51286e+00 4.78630e-14 9.60094e-02
1.71054e+00 6.91831e-14 9.42826e-02
1.93404e+00 1.00000e-13 9.25004e-02
2.18675e+00 1.44544e-13 9.06535e-02
2.47248e+00 2.08930e-13 8.87291e-02
2.79554e+00 3.01995e-13 8.67176e-02
3.16082e+00 4.36516e-13 8.46047e-02
3.57382e+00 6.30957e-13 8.23807e-02
4.04079e+00 9.12011e-13 8.00349e-02
4.56877e+00 1.31826e-12 7.75599e-02
5.16574e+00 1.90546e-12 7.49500e-02
5.84071e+00 2.75423e-12 7.22009e-02
6.60388e+00 3.98107e-12 6.93137e-02
7.46676e+00 5.75440e-12 6.62936e-02
8.44240e+00 8.31764e-12 6.31519e-02
9.54551e+00 1.20226e-11 5.99025e-02
1.07928e+01 1.73780e-11 5.65689e-02
1.22030e+01 2.51189e-11 5.31763e-02
1.37975e+01 3.63078e-11 4.97523e-02
1.56003e+01 5.24808e-11 4.63307e-02
1.76387e+01 7.58578e-11 4.29432e-02
1.99434e+01 1.09648e-10 3.96177e-02
2.25493e+01 1.58489e-10 3.63845e-02
2.54956e+01 2.29087e-10 3.32677e-02
2.88270e+01 3.31131e-10 3.02906e-02
3.25936e+01 4.78630e-10 2.74694e-02
3.68524e+01 6.91831e-10 2.48177e-02
4.16677e+01 1.00000e-09 2.23453e-02
4.71121e+01 1.44544e-09 2.00568e-02
5.32679e+01 2.08930e-09 1.79532e-02
6.02281e+01 3.01995e-09 1.60315e-02
6.80977e+01 4.36516e-09 1.42858e-02
7.69956e+01 6.30957e-09 1.27075e-02
8.70561e+01 9.12011e-09 1.12874e-02
9.84311e+01 1.31826e-08 1.00140e-02
1.11293e+02 1.90546e-08 8.87601e-03
1.25834e+02 2.75423e-08 7.86146e-03
1.42276e+02 3.98107e-08 6.95908e-03
1.60867e+02 5.75440e-08 6.15776e-03
1.81886e+02 8.31764e-08 5.44714e-03
2.05652e+02 1.20226e-07 4.81762e-03
2.32523e+02 1.73780e-07 4.26032e-03
2.62905e+02 2.51189e-07 3.76721e-03
2.97257e+02 3.63078e-07 3.33105e-03
3.36098e+02 5.24808e-07 2.94535e-03
3.80014e+02 7.58578e-07 2.60431e-03
4.29668e+02 1.09648e-06 2.30279e-03
4.85809e+02 1.58489e-06 2.03621e-03
5.49287e+02 2.29087e-06 1.80053e-03
6.21058e+02 3.31131e-06 1.59215e-03
7.02208e+02 4.78630e-06 1.40792e-03
7.93961e+02 6.91831e-06 1.24502e-03
8.97703e+02 1.00000e-05 1.10099e-03
